Tweets,len,ID,Date,Source,Likes,RTs
"Ronald is tucked on a shelf at Fire Station 4 in Akron, which will soon be a @McDonalds as part of a safety/economi… https://t.co/x1Rnz8ubky",140,985136959952769024,2018-04-14 12:45:28,Twitter for iPhone,0,1
"I just went to a McDonalds. I deliberately asked for a chocolate milk, we paid extra for it, and I did not receive… https://t.co/uMFqRZvPKZ",139,985136781053095936,2018-04-14 12:44:46,Twitter for Android,0,0
@antmagic219 Why allow air this garbage on your network? @FoxNews A man who endorses child molestors is not a man a… https://t.co/obiVyQnbpL,140,985136285105999873,2018-04-14 12:42:47,Twitter for iPhone,0,0
I just tried the @McDonalds order kiosk. I’m surprised how much worse it is than the Wawa or Sheetz versions. Getti… https://t.co/FdLCcJUqaL,140,985136279171092482,2018-04-14 12:42:46,Tweetbot for iΟS,0,0
"@ChickfilA about to overtake @McDonalds as top #FastFood company in America.

Better food, better leadership. https://t.co/Pi8FhGmVNP",133,985136230248648704,2018-04-14 12:42:34,Twitter for Android,0,0
@McDonalds I’m going to Wendy’s,31,985136004280606720,2018-04-14 12:41:41,Twitter Lite,0,0
@McDonalds WHAT HAPPENED TO MY BREAKFAST SAUSAGE BURRITO COMBO MEAL?? I went to McDonalds this morning and was appa… https://t.co/y8c2hVVz9l,140,985135638625308672,2018-04-14 12:40:13,Twitter for Android,0,0
"@McDonalds 
When you order a sausage, egg, &amp;cheese bagel but can't find the sausage https://t.co/YwNStwyKuS",111,985135482479763457,2018-04-14 12:39:36,Twitter for Android,0,0
"To everyone who's got exams coming up, remember you've always got @kfc @McDonalds @BurgerKing and @SUBWAY https://t.co/kgpSRz1e48",129,985135435558113282,2018-04-14 12:39:25,Twitter for iPhone,0,0
Took 1 sip of @McDonalds sweet tea and my whole mouth started hurting.  Y’all don’t need that much damn sugar put in,116,985135396764909568,2018-04-14 12:39:16,Twitter for iPhone,0,0
"Take a look around Your New McDonalds with me and some #readingbloggers

@McDonalds 
#yournewmcdonalds… https://t.co/x4Xc8x9NsV",127,985135331459543040,2018-04-14 12:39:00,TweetDeck,0,1
"@McDonalds is the only fast food restaurant i know , that is stingy with their sauces‼️😭😭🤦🏾‍♀️",94,985135226757271552,2018-04-14 12:38:35,Twitter for iPhone,0,0
"@McDonalds First off, you know they're checking that bag before pulling off, McDonald's never gets the order right.… https://t.co/TfQuO56xdR",140,985135173917388801,2018-04-14 12:38:23,Twitter for Android,0,0
"@McDonalds there are only a few parts to a sausage, egg and cheese biscuit... I know it’s tough but how do you leav… https://t.co/XmEeGwWypY",140,985135147010969601,2018-04-14 12:38:16,Twitter for iPhone,0,0
"I don't know, @McDonalds perhaps, just a guess 😩 https://t.co/7oISv9UqXV",72,985134067611029504,2018-04-14 12:33:59,Twitter for Android,0,0
@McDonalds did you guys change the cheese on the Egg White Delight or something because they taste horrible now!?,113,985133643197710337,2018-04-14 12:32:18,Twitter for iPhone,0,0
@McDonalds AND THERES NO HASH BROWN!,36,985132930359005184,2018-04-14 12:29:28,Flamingo for Android,0,0
"I hate @McDonalds, the only thing I really get from there is the smoothies and their machines are always ""broke"" 🖕🏽",115,985132900038438912,2018-04-14 12:29:20,Twitter for iPhone,0,0
Hey @McDonalds this is not bacon. And you charged me for bacon! Son of a bitch. I want a refund for the bacon. https://t.co/tc7m7c3Lb3,134,985132573570543617,2018-04-14 12:28:03,Flamingo for Android,0,0
"@McDonalds Do your partners call the police on black patrons because they're not buying your coffee fast enough? 

Like how @Starbucks does?",140,985132462069243905,2018-04-14 12:27:36,Twitter for Android,0,0
@itshubert11 @McDonalds Don’t let that shit go to waste bro,59,985132074586828801,2018-04-14 12:26:04,Twitter for iPhone,0,0
@McDonalds m loving it. Living in singapore for past 20 days n m a pure vegetarian. Surviving only on McD veg meal.… https://t.co/MUdEHXTntU,140,985131834420805635,2018-04-14 12:25:06,Twitter Lite,0,0
@McDonalds I don’t like to complain about something as simple as a cup of coffee. But every time I order a coffee a… https://t.co/CgXUhQxf8u,140,985131792893128705,2018-04-14 12:24:56,Twitter for iPhone,0,0
@tsmith_872 @McDonalds i am in pain for u,41,985131767588794368,2018-04-14 12:24:50,Twitter for iPhone,0,0
"@riseishin @vh_vikram @globaltimesnews @McDonalds Ask yourself dude, how do you know that suggestion is ""bad for Ch… https://t.co/4PJfugB1l1",140,985131337530134529,2018-04-14 12:23:08,Twitter Lite,0,0
@McDonalds - question! How do you seem to get your Apple Pies to 5000 degrees... I’m sure if I left one on my desk… https://t.co/Fk3BEciRVi,139,985131332765388806,2018-04-14 12:23:07,Twitter for iPhone,0,0
@Sleviniski @McDonalds It's 8 am?,33,985131092142428160,2018-04-14 12:22:09,Twitter for Android,1,0
@McDonalds Nobody wants that nasty ass 💩,40,985130660133265408,2018-04-14 12:20:26,Twitter for Android,0,0
Still need Bond Street!! Come on twitter do your thing!! @mcdonalds #monopoly2018 https://t.co/bucHbrh02A,105,985130248273612800,2018-04-14 12:18:48,Twitter for iPhone,0,0
@McDonalds Store25245 was amazing today! Had a huge order and they never slipped up. Asked to make sure everything… https://t.co/O9K7B7wmrI,139,985129778859651075,2018-04-14 12:16:56,Twitter Lite,0,0
"@TyFox10 We're sorry we missed you! We now live at @McDonalds. We hope you'll follow us at that handle, and we look… https://t.co/UgIgkseayh",140,985129582973079553,2018-04-14 12:16:10,Sprinklr,0,0
I'm having brunch at @McDonalds,31,985129313602285568,2018-04-14 12:15:05,Twitter for Android,3,0
It is so funny that in the middle of tweets about Trump the advertising is...McDonald’s. Well played. @McDonalds,112,985129131875725313,2018-04-14 12:14:22,Twitter for iPhone,0,0
@McDonalds where can we buy the McDonald car accessories? And have a bath robe made? Super jealous of… https://t.co/GNcqxHohuH,126,985128952577617920,2018-04-14 12:13:39,Twitter for iPhone,0,0
I’m not really sure what any of us ever did for @McDonalds to take away Orange Hi-C AND styrofoam cups. 🤦🏼‍♀️,109,985128610813108225,2018-04-14 12:12:18,Twitter for iPhone,0,0
"@McDonalds loving the #Happycrew helpers in today, face painting and balloon animals, nice touch! 🙌 #mumslife… https://t.co/4K8co5DpGC",134,985126690648150019,2018-04-14 12:04:40,Twitter for iPhone,0,0
@McDonalds Not again w/ ads for #McCafe while raising prices on the #SeniorCitizens $1.00 cup of #Coffee any size??… https://t.co/QaySCvl9KT,140,985125926810857473,2018-04-14 12:01:38,Twitter Lite,0,0
@McDonalds That’s an entire meal from Cookout,45,985125915582660608,2018-04-14 12:01:35,Twitter for iPhone,1,0
"Everyone’s post is about today being the day they get married. Meanwhile, I’m like, today is the day I’m getting 2… https://t.co/lyTkSukChC",139,985125781373321217,2018-04-14 12:01:03,Twitter for iPhone,1,0
"@McDonalds nice seeing this when you've had about 10 mouthfuls already, disgusting 😷😷 https://t.co/1nTtsCnYNO",109,985125771898388482,2018-04-14 12:01:01,Twitter for iPhone,0,0
"@vmstan @McDonalds The app is great. I love not having to pre-load a gift card. The training is clearly lacking, though.",120,985125375884787713,2018-04-14 11:59:27,Twitter for iPhone,0,0
"@SOTexas We're sorry we missed you! We now live at @McDonalds. We hope you'll follow us at that handle, and we look… https://t.co/dvSEWeHFGQ",140,985124960644599808,2018-04-14 11:57:48,Sprinklr,0,0
"@TexasLETR We're sorry we missed you! We now live at @McDonalds. We hope you'll follow us at that handle, and we lo… https://t.co/YbtLhhZLT9",140,985124774891474944,2018-04-14 11:57:03,Sprinklr,0,0
Just been hit with #sugartax @McDonalds because I wanted regular coke and not coke zero. I fully support the attemp… https://t.co/ssPk2DUFiQ,140,985124768931250184,2018-04-14 11:57:02,Twitter for Android,0,0
When you wake up craving @McDonalds and the weather is like December in April --- Thank God for @UberEats… https://t.co/4MeH4igPIx,130,985124435056316417,2018-04-14 11:55:42,Twitter for Android,0,0
"@mymagicpin Vanilla ice cream with Chocolate sauce at @McDonalds 
@JatinKiDuniya @proud__daddy @MeenaBhambri https://t.co/0fRLkM0EIC",132,985124147108950016,2018-04-14 11:54:34,Twitter for Android,1,0
@LoryAnkiel @McDonalds Well so much for being a “secret sauce” lol https://t.co/UjqWsfK4yi,90,985123986345529344,2018-04-14 11:53:55,Twitter for iPhone,1,0
@veedems @McDonalds I’ve hesitated to use it for the same reason.,65,985123926484406272,2018-04-14 11:53:41,Twitter for iPhone,0,0
Feeling a little guilty as I sip my @McDonalds #McCafe coffee out of my @TimHortons mug.... 🙄 https://t.co/aQroQzpJ5I,117,985123234801569792,2018-04-14 11:50:56,Twitter for iPhone,0,0
Plenty of plastic in @McDonalds #happymeal no #plasticfree https://t.co/2sBOIx3yWF,82,985122701349212160,2018-04-14 11:48:49,Twitter for iPhone,0,0
"@MrMetKevC @McDonalds Ok I looked it up, it’s mayo/mustard/relish/seasoning lol",79,985122447564378113,2018-04-14 11:47:48,Twitter for iPhone,1,0
@LoryAnkiel @McDonalds LOL .. pretty close. I think the special sauce is similar to a 1000 island dressing but who knows,120,985121794142228480,2018-04-14 11:45:13,Twitter for iPhone,0,0
@SAVAGEKERMlT @McDonalds every fucking time as well https://t.co/OSyzr3oG1s,75,985121728060731393,2018-04-14 11:44:57,Twitter for Android,0,0
@McDonalds I ordered hotcakes and a hash brown. Didn't get the hash brown at all and got two spoons to eat the hotc… https://t.co/OssFqgEWic,140,985121187981340672,2018-04-14 11:42:48,Twitter for Android,0,0
"I'm at @McDonalds in Lockport, NY https://t.co/SgewKWm4XE",57,985121007479517184,2018-04-14 11:42:05,Foursquare,0,0
Hello? @McDonalds @McDonaldsUK @McDonaldsCorp,45,985120823102099456,2018-04-14 11:41:21,Twitter for iPhone,0,0
Hey @McDonalds @McDonaldsUK @McDonaldsCorp what’s your hijab policy? Do you serve the hijabis in MUSLIM countries t… https://t.co/9FSB06ZVKz,140,985120618214551552,2018-04-14 11:40:32,Twitter for iPhone,0,0
"Breakfast (at @McDonalds in Montgomery, NY) https://t.co/HBcP6Yctiq",67,985119138610860032,2018-04-14 11:34:39,Foursquare,1,0
@aspenlane07 @McDonalds if you don’t secure the bag... girllllll,64,985118978266882048,2018-04-14 11:34:01,Twitter for iPhone,0,0
@dozor1984 @McDonalds likes this. ❤️,36,985117651121864704,2018-04-14 11:28:45,Twitter Lite,0,0
@McDonalds nice new cups.... https://t.co/LrAWxxqCd3,52,985116145693921280,2018-04-14 11:22:46,Twitter for Android,0,0
@McDonalds where do I call to complain for a aweful service? This is in India,77,985114761984651264,2018-04-14 11:17:16,Twitter for iPhone,0,0
Brilliant advertisement by  @GulfNewsTV. Pictures speaks louder than words. Their main focus  of this campaign was… https://t.co/mtHUDalDrR,139,985113906711580672,2018-04-14 11:13:52,Twitter for iPhone,1,1
Hey @McDonalds love the new ad with the smoke detector alarming in the background. That won't cause any household panic.,120,985113461247094784,2018-04-14 11:12:06,Twitter for Android,0,0
