fuelType,rating,renterTripsTaken,reviewCount,location.city,rate.daily,vehicle.make,vehicle.model,vehicle.type
ELECTRIC,5,3,3,Miles,134.3,Tesla,Model 3,car
ELECTRIC,5,36,33,Miles,163.2,Tesla,Model 3,car
ELECTRIC,5,89,83,Miles,185.3,Tesla,Model 3,car
ELECTRIC,4.97,70,64,Miles,185.3,Tesla,Model 3,car
ELECTRIC,4.73,41,33,Miles,185.3,Tesla,Model 3,car
ELECTRIC,4.95,113,80,Miles,202.3,Tesla,Model X,suv
ELECTRIC,4.85,50,40,Miles,202.3,Tesla,Model X,suv
ELECTRIC,5,3,2,Miles,249.9,Tesla,Model X,suv
ELECTRIC,5,28,25,Miles,253.3,Tesla,Model X,suv
ELECTRIC,4.96,54,49,Miles,270.3,Tesla,Model X,suv
ELECTRIC,5,43,35,Miles,270.3,Tesla,Model X,suv
PETROL,4.87,25,23,Miles,102,BMW,3 Series,car
PETROL,5,20,18,Miles,144.5,Mercedes-Benz,C-Class,car
PETROL,4.95,26,22,Miles ,103.7,BMW,5 Series,car
PETROL,4.91,79,69,Miles ,117.3,Mercedes-Benz,GLA-Class,suv
ELECTRIC,4,5,4,Brisbane Airport,151.3,Tesla,Model 3,car
ELECTRIC,4.74,36,34,Brisbane Airport,153,Tesla,Model 3,car
ELECTRIC,4.99,113,107,Brisbane Airport,168.3,Tesla,Model 3,car
ELECTRIC,5,22,19,Brisbane Airport,168.3,Tesla,Model 3,car
ELECTRIC,4.83,35,29,Brisbane Airport,202.3,Tesla,Model 3,car
ELECTRIC,4.98,112,101,Brisbane Airport,204,Tesla,Model 3,car
ELECTRIC,4.99,84,76,Brisbane Airport,209.1,Tesla,Model 3,car
ELECTRIC,5,8,7,Brisbane Airport,215.9,Tesla,Model 3,car
ELECTRIC,4.81,18,16,Brisbane Airport,226.1,Tesla,Model 3,car
ELECTRIC,5,6,5,Brisbane City,227.8,Tesla,Model 3,car
ELECTRIC,4.95,76,66,Brisbane City,229.5,Tesla,Model 3,car
ELECTRIC,4.98,61,53,Brisbane City,234.6,Tesla,Model 3,car
ELECTRIC,5,33,29,Brisbane City,283.9,Tesla,Model 3,car
ELECTRIC,4.89,12,9,Brisbane City,306,Tesla,Model 3,car
ELECTRIC,4.92,66,61,Brisbane Airport,144.5,Tesla,Model S,car
ELECTRIC,4.9,126,103,Brisbane Airport,161.5,Tesla,Model S,car
ELECTRIC,4.94,59,53,Brisbane Airport,170,Tesla,Model S,car
ELECTRIC,4.94,23,16,Brisbane City,170,Tesla,Model S,car
ELECTRIC,5,19,14,Brisbane City,176.8,Tesla,Model S,car
ELECTRIC,5,83,74,Brisbane City,321.3,Tesla,Model S,car
ELECTRIC,4.97,123,116,Brisbane Airport,168.3,Tesla,Model X,suv
ELECTRIC,5,1,1,Brisbane Airport,234.6,Tesla,Model X,suv
ELECTRIC,4.86,44,36,Brisbane Airport,238,Tesla,Model X,suv
ELECTRIC,4.91,15,11,Brisbane Airport,272,Tesla,Model X,suv
ELECTRIC,4.98,148,127,Brisbane Airport,282.2,Tesla,Model X,suv
ELECTRIC,5,25,25,Brisbane Airport,295.8,Tesla,Model X,suv
ELECTRIC,5,17,14,Brisbane Airport,317.9,Tesla,Model X,suv
ELECTRIC,5,56,48,Brisbane City,397.8,Tesla,Model X,suv
ELECTRIC,5,8,6,Brisbane City,452.2,Tesla,Model X,suv
ELECTRIC,5,2,2,Brisbane City,508.3,Tesla,Model X,suv
ELECTRIC,5,6,6,Brisbane Airport,261.8,Tesla,Model Y,suv
ELECTRIC,5,3,2,Brisbane Airport,261.8,Tesla,Model Y,suv
HYBRID,5,55,47,Brisbane Airport,499.8,BMW,i8,car
HYBRID,5,51,44,Brisbane Airport,93.5,Lexus,CT 200h,car
PETROL,5,40,34,Brisbane Airport,137.7,BMW,2 Series,car
PETROL,5,47,41,Brisbane Airport,142.8,BMW,2 Series,car
PETROL,5,31,24,Brisbane Airport,142.8,BMW,2 Series,car
PETROL,4.91,191,160,Brisbane Airport,149.6,BMW,2 Series,car
PETROL,4.93,110,89,Brisbane Airport,149.6,BMW,3 Series,car
PETROL,4.96,86,77,Brisbane City,98.6,BMW,4 Series,car
PETROL,4.94,37,34,Brisbane City,136,BMW,4 Series,car
PETROL,4.98,60,54,Brisbane City,176.8,BMW,4 Series,car
PETROL,4.57,8,7,Brisbane Airport,183.6,BMW,7 Series,car
PETROL,4,1,1,Brisbane City,193.8,BMW,7 Series,car
PETROL,5,12,12,Brisbane City,229.5,BMW,M3,car
PETROL,5,54,49,Brisbane City,255,BMW,M3,car
PETROL,5,22,20,Brisbane City,185.3,BMW,M4,car
PETROL,4.92,234,195,Brisbane City,202.3,BMW,M4,car
PETROL,5,98,94,Brisbane City,217.6,BMW,M4,car
PETROL,4.95,144,124,Brisbane City,219.3,BMW,M4,car
PETROL,4.82,37,33,Brisbane City,232.9,BMW,M4,car
PETROL,4.87,108,85,Brisbane City,270.3,BMW,M4,car
PETROL,5,40,34,Brisbane City,112.2,BMW,X1,suv
PETROL,4.92,168,146,Brisbane City,173.4,BMW,X5,suv
PETROL,5,3,3,Brisbane City,168.3,Land Rover,LR4,suv
PETROL,5,63,57,Brisbane Airport,151.3,Land Rover,Range Rover Sport,suv
PETROL,5,6,5,Brisbane Airport,188.7,Land Rover,Range Rover Sport,suv
PETROL,5,92,79,Brisbane Airport,251.6,Land Rover,Range Rover Sport,suv
PETROL,4.81,28,27,Brisbane City,508.3,Land Rover,Range Rover Sport,suv
PETROL,4.88,21,17,Brisbane City,136,Lexus,GX,suv
PETROL,5,38,36,Brisbane City,297.5,Lexus,LC 500,car
PETROL,4.98,61,48,Brisbane City,302.6,Lexus,LC 500,car
PETROL,5,1,1,Brisbane City,98.6,Lexus,RX 350L,suv
PETROL,4.93,33,28,Brisbane City,355.3,Mercedes-Benz,AMG GT,car
PETROL,5,4,4,Brisbane Airport,98.6,Mercedes-Benz,C-Class,car
PETROL,4.99,124,110,Brisbane Airport,136,Mercedes-Benz,C-Class,car
PETROL,5,24,20,Brisbane Airport,170,Mercedes-benz,C-Class,car
PETROL,4.99,92,80,Brisbane Airport,180.2,Mercedes-Benz,C-Class,car
PETROL,5,48,44,Brisbane Airport,190.4,Mercedes-benz,C-Class,car
PETROL,5,18,17,Brisbane Airport,195.5,Mercedes-Benz,C-Class,car
PETROL,4.86,42,37,Brisbane Airport,289,Mercedes-Benz,C-Class,car
PETROL,4.84,90,77,Brisbane Airport,119,Mercedes-Benz,CL-Class,car
PETROL,5,24,19,Brisbane City,136,Mercedes-Benz,CLA-Class,car
PETROL,4.94,57,53,Brisbane City,153,Mercedes-benz,CLA-Class,car
PETROL,5,14,8,Brisbane City,168.3,Mercedes-Benz,E-Class,car
PETROL,5,24,22,Brisbane City,190.4,Mercedes-Benz,E-Class,car
PETROL,5,109,98,Brisbane City,98.6,Mercedes-Benz,GLC-Class,suv
PETROL,5,9,7,Brisbane City,268.6,Mercedes-benz,GLE-Class,suv
PETROL,5,10,10,Brisbane City,338.3,Mercedes-Benz,S-Class,car
PETROL,4.99,89,77,Brisbane City,253.3,Mercedes-Benz,SL-Class,car
PETROL,4.97,79,70,Brisbane City,127.5,Mercedes-Benz,SLK-Class,car
ELECTRIC,5,67,64,Mackay,151.3,Tesla,Model 3,car
ELECTRIC,5,14,11,Mackay,198.9,Tesla,Model 3,car
ELECTRIC,5,13,12,Mackay,221,Tesla,Model 3,car
ELECTRIC,5,18,15,Mackay,222.7,Tesla,Model 3,car
ELECTRIC,4.73,16,15,Mackay,243.1,Tesla,Model S,car
HYBRID,5,20,16,Mackay,382.5,BMW,i8,car
HYBRID,5,32,26,Mackay,595,BMW,i8,car
PETROL,5,10,6,Mackay,110.5,BMW,1 Series,car
PETROL,4.94,56,51,Mackay,134.3,BMW,1 Series,car
PETROL,4.6,5,5,Mackay,119,BMW,3 Series,car
PETROL,5,49,44,Mackay,295.8,BMW,4-Series,car
PETROL,5,1,1,Mackay,151.3,BMW,5 Series,car
PETROL,5,6,5,Mackay,280.5,BMW,M4,car
PETROL,4.6,11,10,Mackay,331.5,BMW,M4,car
PETROL,5,17,16,Mackay,280.5,Land Rover,Range Rover Sport,suv
PETROL,5,7,4,Mackay,253.3,Lexus,IS 350,car
PETROL,4.83,6,6,Mackay,71.4,Mercedes-Benz,C-Class,car
PETROL,5,4,3,Mackay,122.4,Mercedes-Benz,C-Class,car
PETROL,5,2,2,Mackay,153,Mercedes-Benz,C-Class,car
PETROL,4.91,24,23,Mackay,115.6,Mercedes-Benz,CLA-Class,car
PETROL,5,43,36,Mackay,62.9,Mercedes-Benz,E-Class,car
PETROL,5,13,12,Mackay,139.4,Mercedes-Benz,E-Class,car
PETROL,5,3,3,Mackay,831.3,Mercedes-benz,G-Class,suv
PETROL,4.92,17,13,Mackay,147.9,Mercedes-Benz,GLE-Class,suv
PETROL,4.67,6,3,Mackay,79.9,Mercedes-Benz,M-Class,suv
PETROL,5,6,4,Mackay,170,Mercedes-Benz,M-Class,suv
PETROL,5,8,8,Mackay,117.3,Mercedes-Benz,SLK-Class,car
ELECTRIC,5,81,72,Townsville,161.5,Tesla,Model 3,car
ELECTRIC,5,21,19,Townsville,180.2,Tesla,Model 3,car
ELECTRIC,4.97,159,132,Townsville,374,Tesla,Model 3,car
ELECTRIC,4.96,92,73,Townsville,154.7,Tesla,Model S,car
ELECTRIC,5,25,17,Townsville,161.5,Tesla,Model S,car
ELECTRIC,4.78,202,151,Townsville,234.6,Tesla,Model S,car
ELECTRIC,4.6,17,10,Townsville,253.3,Tesla,Model S,car
ELECTRIC,5,33,28,Townsville,423.3,Tesla,Model S,car
ELECTRIC,5,38,26,Townsville,209.1,Tesla,Model X,suv
ELECTRIC,4.88,110,83,Townsville,253.3,Tesla,Model X,suv
ELECTRIC,4.93,51,43,Townsville,253.3,Tesla,Model X,suv
HYBRID,4.77,49,35,Townsville,117.3,BMW,5-Series,car
HYBRID,4.91,77,69,Townsville,270.3,BMW,i8,car
HYBRID,4.92,110,100,Townsville,304.3,BMW,i8,car
