Date,Zone,Area,Range,Product,Qty,Price
1-Jan,Gold Coast,Northern Suburbs,Cafe,2kg Cafe Blend,33,49.50
2-Jan,Gold Coast,Northern Suburbs,Barista,2kg Smooth Blend,32,57.90
4-Jan,Gold Coast,Southern Suburbs,Premium,2kg Single Origin Select,87,73.25
5-Jan,Gold Coast,Northern Suburbs,Cafe,2kg Cafe Blend,63,49.50
7-Jan,Brisbane,Southern Suburbs,Barista,2kg Light Roast,58,54.75
8-Jan,Gold Coast,Northern Suburbs,Standard,4kg Everyday Blend,29,31.5
10-Jan,Brisbane,Northern Suburbs,Barista,2kg Light Roast,82,54.75
11-Jan,Brisbane,Southern Suburbs,Cafe,2kg Cafe Single Origin,77,54.75
13-Jan,Gold Coast,Northern Suburbs,Barista,2kg Smooth Blend,38,57.90
14-Jan,Brisbane,Southern Suburbs,Barista,2kg Dark Blend,80,61.45
16-Jan,Gold Coast,Northern Suburbs,Cafe,2kg Cafe Blend,54,49.50
17-Jan,Brisbane,Northern Suburbs,Cafe,2kg Cafe Blend,102,49.50
19-Jan,Gold Coast,Southern Suburbs,Premium,2kg Single Origin Select,149,73.25
20-Jan,Brisbane,Northern Suburbs,Premium,2kg Single Origin Select,31,73.25
22-Jan,Brisbane,Southern Suburbs,Cafe,2kg Cafe Blend,51,49.50
23-Jan,Sunshine Coast,Southern Suburbs,Cafe,2kg Cafe Blend,56,49.50
25-Jan,Brisbane,Northern Suburbs,Cafe,2kg Cafe Blend,100,49.50
26-Jan,Gold Coast,Northern Suburbs,Barista,2kg Smooth Blend,52,57.90
28-Jan,Brisbane,Northern Suburbs,Standard,2kg Everyday Blend,28,45.00
29-Jan,Gold Coast,Northern Suburbs,Cafe,2kg Cafe Blend,51,49.50
31-Jan,Gold Coast,Northern Suburbs,Barista,2kg Smooth Blend,36,57.90
1-Feb,Gold Coast,Northern Suburbs,Standard,2kg Everyday Blend,24,45.00
3-Feb,Gold Coast,Southern Suburbs,Barista,2kg Light Roast,31,54.75
4-Feb,Brisbane,Southern Suburbs,Barista,2kg Smooth Blend,58,57.90
6-Feb,Gold Coast,Southern Suburbs,Premium,2kg Single Origin Select,28,73.25
7-Feb,Brisbane,Southern Suburbs,Barista,2kg Light Roast,34,54.75
9-Feb,Brisbane,Southern Suburbs,Cafe,2kg Cafe Blend,44,49.50
10-Feb,Brisbane,Northern Suburbs,Cafe,2kg Cafe Blend,34,49.50
12-Feb,Brisbane,Northern Suburbs,Cafe,2kg Cafe Blend,23,49.50
13-Feb,Brisbane,Northern Suburbs,Standard,2kg Everyday Blend,21,45.00
15-Feb,Brisbane,Northern Suburbs,Standard,2kg Everyday Blend,27,45.00
16-Feb,Sunshine Coast,Southern Suburbs,Barista,2kg Dark Blend,29,61.45
