location,date,new_cases,new_deaths,icu_patients,people_fully_vaccinated,population,median_age,gdp_per_capita
Australia,26/01/2020,4,,,,25788217,37.9,44648.71
Australia,27/01/2020,1,,,,25788217,37.9,44648.71
Australia,28/01/2020,0,,,,25788217,37.9,44648.71
Australia,29/01/2020,1,,,,25788217,37.9,44648.71
Australia,30/01/2020,3,,,,25788217,37.9,44648.71
Australia,31/01/2020,0,,,,25788217,37.9,44648.71
Australia,1/02/2020,3,,,,25788217,37.9,44648.71
Australia,2/02/2020,0,,,,25788217,37.9,44648.71
Australia,3/02/2020,0,,,,25788217,37.9,44648.71
Australia,4/02/2020,1,,,,25788217,37.9,44648.71
Australia,5/02/2020,0,,,,25788217,37.9,44648.71
Australia,6/02/2020,1,,,,25788217,37.9,44648.71
Australia,7/02/2020,1,,,,25788217,37.9,44648.71
Australia,8/02/2020,0,,,,25788217,37.9,44648.71
Australia,9/02/2020,0,,,,25788217,37.9,44648.71
Australia,10/02/2020,0,,,,25788217,37.9,44648.71
Australia,11/02/2020,0,,,,25788217,37.9,44648.71
Australia,12/02/2020,0,,,,25788217,37.9,44648.71
Australia,13/02/2020,0,,,,25788217,37.9,44648.71
Australia,14/02/2020,0,,,,25788217,37.9,44648.71
Australia,15/02/2020,0,,,,25788217,37.9,44648.71
Australia,16/02/2020,0,,,,25788217,37.9,44648.71
Australia,17/02/2020,0,,,,25788217,37.9,44648.71
Australia,18/02/2020,0,,,,25788217,37.9,44648.71
Australia,19/02/2020,0,,,,25788217,37.9,44648.71
Australia,20/02/2020,0,,,,25788217,37.9,44648.71
Australia,21/02/2020,0,,,,25788217,37.9,44648.71
Australia,22/02/2020,0,,,,25788217,37.9,44648.71
Australia,23/02/2020,0,,,,25788217,37.9,44648.71
Australia,24/02/2020,0,,,,25788217,37.9,44648.71
Australia,25/02/2020,0,,,,25788217,37.9,44648.71
Australia,26/02/2020,0,,,,25788217,37.9,44648.71
Australia,27/02/2020,0,,,,25788217,37.9,44648.71
Australia,28/02/2020,0,,,,25788217,37.9,44648.71
Australia,29/02/2020,10,,,,25788217,37.9,44648.71
Australia,1/03/2020,2,1,,,25788217,37.9,44648.71
Australia,2/03/2020,3,0,,,25788217,37.9,44648.71
Australia,3/03/2020,9,0,,,25788217,37.9,44648.71
Australia,4/03/2020,13,1,,,25788217,37.9,44648.71
Australia,5/03/2020,3,0,,,25788217,37.9,44648.71
Australia,6/03/2020,5,0,,,25788217,37.9,44648.71
Australia,7/03/2020,3,0,,,25788217,37.9,44648.71
Australia,8/03/2020,13,1,,,25788217,37.9,44648.71
Australia,9/03/2020,15,0,,,25788217,37.9,44648.71
Australia,10/03/2020,16,0,,,25788217,37.9,44648.71
Australia,11/03/2020,21,0,,,25788217,37.9,44648.71
Australia,12/03/2020,0,0,,,25788217,37.9,44648.71
