stud_num,course,mode,lab,workshop
1,IN01,PT,CLB 5,WOR 1
2,IN01,FT,CLB 1,WOR 1
3,IN01,PT,CLB 1,WOR 1
4,IN01,PT,CLB 1,WOR 1
5,IN01,FT,CLB 3,WOR 1
6,IN01,FT,CLB 3,WOR 1
7,IX22,FT,CLB 3,WOR 1
8,IX22,FT,CLB 1,WOR 1
9,IN01,FT,CLB 1,WOR 1
10,IN01,FT,CLB 5,WOR 2
11,IX22,FT,CLB 1,WOR 1
12,IX22,FT,CLB 2,WOR 1
13,U095,FT,CLB 3,WOR 1
14,IN01,FT,CLB 5,WOR 1
15,IN01,FT,,WOR 1
16,SE60,FT,CLB 1,WOR 1
17,IN01,PT,CLB 4,WOR 2
18,IX22,FT,CLB 1,WOR 1
19,IN01,FT,CLB 3,WOR 1
20,SE60,FT,CLB 2,WOR 1
21,SE60,FT,CLB 1,WOR 1
22,IX22,FT,CLB 1,WOR 2
23,ST01,FT,CLB 5,WOR 1
24,IX56,FT,CLB 1,WOR 1
25,IX22,FT,CLB 2,WOR 1
26,IN01,FT,CLB 2,WOR 1
27,IN01,PT,CLB 3,WOR 1
28,IN01,FT,CLB 4,WOR 2
29,IN01,FT,CLB 5,WOR 1
30,IN01,FT,CLB 3,WOR 1
31,IN01,FT,CLB 4,WOR 2
32,IN01,FT,CLB 2,WOR 1
33,IN01,FT,CLB 2,WOR 1
34,IN01,FT,CLB 2,WOR 1
35,IN01,FT,CLB 5,WOR 1
36,IN01,FT,CLB 1,WOR 1
37,IX22,FT,CLB 1,WOR 2
38,IN01,FT,CLB 5,WOR 2
39,IX22,FT,CLB 2,WOR 1
40,IN01,FT,CLB 5,WOR 2
41,SE60,FT,CLB 3,WOR 1
42,IX22,FT,CLB 3,WOR 1
43,IN01,PT,CLB 5,WOR 1
44,IN01,FT,CLB 4,WOR 2
45,IN01,FT,CLB 3,WOR 1
46,BS05,FT,CLB 3,WOR 1
47,IN01,FT,CLB 3,WOR 2
48,IN01,FT,CLB 4,WOR 2
49,IN01,FT,CLB 4,WOR 1
50,IN01,FT,CLB 2,WOR 1
51,IN01,FT,,WOR 2
52,IN01,FT,CLB 4,WOR 2
53,IX22,FT,CLB 4,WOR 2
54,IN01,FT,CLB 3,WOR 2
55,IN01,FT,CLB 5,WOR 1
56,IN01,FT,CLB 5,WOR 1
57,IN01,FT,CLB 2,WOR 1
58,IN01,FT,CLB 2,WOR 1
59,IN01,FT,CLB 1,WOR 1
60,IN01,FT,CLB 5,WOR 2
61,IX22,FT,CLB 4,WOR 2
62,IN01,FT,CLB 4,WOR 1
63,IX22,FT,CLB 2,WOR 1
64,IX22,FT,CLB 3,WOR 1
65,IX22,FT,CLB 1,WOR 1
66,IX22,PT,CLB 3,WOR 1
67,IN01,FT,CLB 1,WOR 1
68,IN01,FT,CLB 4,WOR 1
69,IX22,FT,CLB 5,WOR 2
70,IN01,FT,CLB 4,WOR 2
71,IN01,FT,CLB 1,WOR 1
72,IN01,FT,CLB 3,WOR 1
73,IN01,FT,CLB 2,WOR 1
74,IN01,FT,CLB 1,WOR 1
75,IN01,FT,CLB 2,WOR 1
76,IN01,FT,CLB 3,WOR 1
77,IN01,FT,CLB 4,WOR 2
78,IN01,FT,CLB 2,WOR 1
79,IN01,FT,CLB 2,WOR 1
80,IN01,FT,CLB 3,WOR 1
81,IX22,FT,CLB 4,WOR 1
82,IN01,FT,CLB 2,WOR 1
83,IN01,FT,CLB 2,WOR 1
84,IN01,FT,CLB 1,WOR 1
85,IN01,FT,CLB 4,WOR 2
86,IX56,FT,CLB 2,WOR 1
87,IN01,FT,CLB 4,WOR 2
88,IN01,FT,CLB 4,WOR 2
89,IN01,FT,CLB 5,WOR 1
90,IX69,FT,CLB 4,WOR 1
91,IN01,FT,CLB 3,WOR 1
92,IN01,FT,CLB 3,WOR 1
93,IX22,PT,CLB 5,WOR 2
94,IN01,FT,CLB 5,WOR 1
95,IN01,FT,CLB 2,WOR 1
96,IN01,FT,CLB 1,WOR 1
97,IX22,FT,CLB 4,WOR 1
98,IN01,FT,CLB 3,WOR 1
99,IN01,FT,CLB 3,WOR 1
100,IN01,FT,CLB 1,WOR 1
101,IN01,FT,CLB 2,WOR 1
102,IN01,FT,CLB 3,WOR 1
103,IN01,FT,CLB 2,WOR 1
104,BS05,FT,CLB 5,WOR 1
105,IN01,FT,CLB 2,WOR 1
106,IX22,FT,CLB 1,WOR 1
107,IN01,FT,CLB 4,WOR 2
108,IX22,FT,CLB 2,WOR 1
109,IN01,FT,CLB 1,WOR 1
110,IN01,FT,CLB 4,WOR 2
111,SE60,FT,,WOR 1
112,IN01,FT,CLB 3,WOR 2
113,IN01,FT,CLB 4,WOR 2
114,IN01,FT,CLB 3,WOR 2
115,IN01,FT,CLB 5,WOR 1
116,IN01,FT,CLB 5,WOR 1
117,IN01,FT,CLB 1,WOR 1
118,IN01,FT,CLB 5,WOR 1
119,IN01,FT,CLB 1,WOR 1
120,IN01,FT,CLB 2,WOR 1
