,date,store,item,sales
7304,2013-01-01,5,1,11
7305,2013-01-02,5,1,9
7306,2013-01-03,5,1,12
7307,2013-01-04,5,1,8
7308,2013-01-05,5,1,13
7309,2013-01-06,5,1,15
7310,2013-01-07,5,1,6
7311,2013-01-08,5,1,11
7312,2013-01-09,5,1,13
7313,2013-01-10,5,1,9
7314,2013-01-11,5,1,9
7315,2013-01-12,5,1,8
7316,2013-01-13,5,1,22
7317,2013-01-14,5,1,8
7318,2013-01-15,5,1,10
7319,2013-01-16,5,1,9
7320,2013-01-17,5,1,8
7321,2013-01-18,5,1,9
7322,2013-01-19,5,1,6
7323,2013-01-20,5,1,6
7324,2013-01-21,5,1,6
7325,2013-01-22,5,1,8
7326,2013-01-23,5,1,11
7327,2013-01-24,5,1,8
7328,2013-01-25,5,1,7
7329,2013-01-26,5,1,7
7330,2013-01-27,5,1,11
7331,2013-01-28,5,1,8
7332,2013-01-29,5,1,12
7333,2013-01-30,5,1,8
7334,2013-01-31,5,1,6
7335,2013-02-01,5,1,6
7336,2013-02-02,5,1,20
7337,2013-02-03,5,1,13
7338,2013-02-04,5,1,12
7339,2013-02-05,5,1,10
7340,2013-02-06,5,1,12
7341,2013-02-07,5,1,13
7342,2013-02-08,5,1,13
7343,2013-02-09,5,1,12
7344,2013-02-10,5,1,10
7345,2013-02-11,5,1,10
7346,2013-02-12,5,1,10
7347,2013-02-13,5,1,14
7348,2013-02-14,5,1,9
7349,2013-02-15,5,1,9
7350,2013-02-16,5,1,10
7351,2013-02-17,5,1,10
7352,2013-02-18,5,1,5
7353,2013-02-19,5,1,4
7354,2013-02-20,5,1,10
7355,2013-02-21,5,1,4
7356,2013-02-22,5,1,10
7357,2013-02-23,5,1,11
7358,2013-02-24,5,1,11
7359,2013-02-25,5,1,8
7360,2013-02-26,5,1,15
7361,2013-02-27,5,1,7
7362,2013-02-28,5,1,14
7363,2013-03-01,5,1,7
7364,2013-03-02,5,1,20
7365,2013-03-03,5,1,11
7366,2013-03-04,5,1,11
7367,2013-03-05,5,1,11
7368,2013-03-06,5,1,18
7369,2013-03-07,5,1,12
7370,2013-03-08,5,1,13
7371,2013-03-09,5,1,8
7372,2013-03-10,5,1,12
7373,2013-03-11,5,1,11
7374,2013-03-12,5,1,18
7375,2013-03-13,5,1,14
7376,2013-03-14,5,1,12
7377,2013-03-15,5,1,12
7378,2013-03-16,5,1,12
7379,2013-03-17,5,1,13
7380,2013-03-18,5,1,11
7381,2013-03-19,5,1,14
7382,2013-03-20,5,1,15
7383,2013-03-21,5,1,11
7384,2013-03-22,5,1,13
7385,2013-03-23,5,1,15
7386,2013-03-24,5,1,16
7387,2013-03-25,5,1,6
7388,2013-03-26,5,1,4
7389,2013-03-27,5,1,8
7390,2013-03-28,5,1,14
7391,2013-03-29,5,1,19
7392,2013-03-30,5,1,12
7393,2013-03-31,5,1,23
7394,2013-04-01,5,1,9
7395,2013-04-02,5,1,14
7396,2013-04-03,5,1,15
7397,2013-04-04,5,1,13
7398,2013-04-05,5,1,17
7399,2013-04-06,5,1,18
7400,2013-04-07,5,1,18
7401,2013-04-08,5,1,14
7402,2013-04-09,5,1,13
7403,2013-04-10,5,1,15
7404,2013-04-11,5,1,17
7405,2013-04-12,5,1,14
7406,2013-04-13,5,1,12
7407,2013-04-14,5,1,17
7408,2013-04-15,5,1,14
7409,2013-04-16,5,1,10
7410,2013-04-17,5,1,11
7411,2013-04-18,5,1,14
7412,2013-04-19,5,1,12
7413,2013-04-20,5,1,15
7414,2013-04-21,5,1,18
7415,2013-04-22,5,1,7
7416,2013-04-23,5,1,12
7417,2013-04-24,5,1,8
7418,2013-04-25,5,1,15
7419,2013-04-26,5,1,13
7420,2013-04-27,5,1,14
7421,2013-04-28,5,1,15
7422,2013-04-29,5,1,9
7423,2013-04-30,5,1,13
7424,2013-05-01,5,1,14
7425,2013-05-02,5,1,13
7426,2013-05-03,5,1,21
7427,2013-05-04,5,1,23
7428,2013-05-05,5,1,20
7429,2013-05-06,5,1,18
7430,2013-05-07,5,1,14
7431,2013-05-08,5,1,11
7432,2013-05-09,5,1,11
7433,2013-05-10,5,1,18
7434,2013-05-11,5,1,17
7435,2013-05-12,5,1,14
7436,2013-05-13,5,1,13
7437,2013-05-14,5,1,16
7438,2013-05-15,5,1,12
7439,2013-05-16,5,1,11
7440,2013-05-17,5,1,9
7441,2013-05-18,5,1,18
7442,2013-05-19,5,1,19
7443,2013-05-20,5,1,17
7444,2013-05-21,5,1,8
7445,2013-05-22,5,1,14
7446,2013-05-23,5,1,18
7447,2013-05-24,5,1,22
7448,2013-05-25,5,1,16
7449,2013-05-26,5,1,25
7450,2013-05-27,5,1,11
7451,2013-05-28,5,1,22
7452,2013-05-29,5,1,15
7453,2013-05-30,5,1,20
7454,2013-05-31,5,1,13
7455,2013-06-01,5,1,16
7456,2013-06-02,5,1,22
