,date,date_block_num,shop_id,item_id,item_price,item_cnt_day
651498,12.07.2013,6,37,11691,149.0,1.0
460637,18.05.2013,4,25,4302,649.0,1.0
1696749,18.05.2014,16,47,1306,299.0,1.0
1081839,04.11.2013,10,18,11645,149.0,1.0
1865398,04.07.2014,18,21,19050,549.0,1.0
1072561,06.11.2013,10,6,7204,199.0,1.0
2030609,25.10.2014,21,28,3500,1039.0,2.0
1162583,11.12.2013,11,12,1645,949.0,1.0
2817755,22.08.2015,31,28,15066,399.5,2.0
1885236,20.08.2014,19,45,3475,399.5,1.0
499063,06.05.2013,4,59,7490,299.0,1.0
2469766,23.02.2015,25,28,7019,1199.0,1.0
1076250,25.11.2013,10,21,17794,149.0,1.0
1484962,25.03.2014,14,56,4901,1499.0,1.0
387447,20.04.2013,3,53,13901,299.0,1.0
1237809,24.12.2013,11,41,8605,349.0,1.0
1142093,30.12.2013,11,25,3186,279.0,1.0
591035,19.06.2013,5,25,18965,399.0,1.0
1059379,12.11.2013,10,12,20770,649.0,1.0
1474396,07.03.2014,14,57,4351,399.0,1.0
2199338,30.12.2014,23,43,11185,349.0,1.0
96475,02.01.2013,0,52,1956,399.0,-1.0
669286,12.07.2013,6,5,1398,599.0,1.0
1633837,27.05.2014,16,24,7799,3699.0,2.0
602447,30.06.2013,5,56,3747,629.0,1.0
452007,17.05.2013,4,21,20497,1199.0,1.0
2472934,22.02.2015,25,29,17654,3999.0,1.0
2692536,01.06.2015,29,28,20882,899.0,1.0
1406132,13.02.2014,13,6,2806,299.0,1.0
1614857,28.04.2014,15,31,3647,148.0,1.0
1047419,01.11.2013,10,41,2084,199.0,1.0
909365,07.09.2013,8,29,17873,399.0,1.0
2153766,29.11.2014,22,3,19405,399.0,1.0
2049553,29.10.2014,21,12,14762,449.0,1.0
2702228,26.06.2015,29,15,8608,799.0,1.0
54116,02.01.2013,0,8,21500,1999.0,1.0
2064331,20.10.2014,21,17,15455,499.0,1.0
1215506,26.12.2013,11,58,7940,8691.0,1.0
2206933,22.12.2014,23,42,1460,599.0,1.0
1634312,30.05.2014,16,25,2269,799.0,1.0
1096814,10.11.2013,10,54,9421,349.0,1.0
12699,03.01.2013,0,23,8991,399.0,1.0
1454763,25.02.2014,13,57,10298,399.0,1.0
1429297,23.02.2014,13,42,15044,699.0,1.0
884670,25.09.2013,8,12,1030,299.0,2.0
18753,05.01.2013,0,28,3432,599.0,3.0
2636135,04.05.2015,28,26,5660,1690.0,1.0
1084205,01.11.2013,10,16,21621,1979.0,1.0
2793889,24.08.2015,31,55,3396,249.0,1.0
31932,12.01.2013,0,4,13350,30.0,6.0
446668,07.05.2013,4,29,8778,99.0,1.0
603976,30.06.2013,5,56,21618,199.0,1.0
524046,18.05.2013,4,4,7532,299.0,1.0
1691092,28.05.2014,16,41,1824,49.0,1.0
2682227,15.06.2015,29,24,19093,299.0,1.0
699390,25.07.2013,6,54,8487,279.2,1.0
1909070,09.08.2014,19,54,7187,299.0,1.0
1579116,05.04.2014,15,26,2920,599.0,1.0
686641,25.07.2013,6,16,12472,199.0,1.0
987505,27.10.2013,9,25,11204,149.0,1.0
101461,16.01.2013,0,51,10355,3675.0,1.0
1457943,20.03.2014,14,51,9653,137.0,1.0
1915791,03.08.2014,19,16,1915,249.0,1.0
1391370,07.02.2014,13,31,4583,299.0,1.0
123581,03.02.2013,1,42,5224,299.0,1.0
535739,18.06.2013,5,31,8798,299.0,1.0
239759,08.03.2013,2,31,12437,198.0,1.0
1998656,14.09.2014,20,27,20607,849.0,1.0
8483,18.01.2013,0,22,6609,1149.0,1.0
1262688,11.12.2013,11,44,2574,399.0,1.0
2760632,01.07.2015,30,19,15040,599.0,1.0
685021,26.07.2013,6,18,944,399.0,1.0
602207,24.06.2013,5,56,5594,1190.0,1.0
746851,17.08.2013,7,38,16850,549.0,1.0
136628,02.02.2013,1,54,1801,1499.0,1.0
598401,27.06.2013,5,22,7123,849.0,1.0
1212569,30.12.2013,11,51,3932,1244.0,2.0
1065060,10.11.2013,10,14,13930,399.0,1.0
2179765,14.11.2014,22,45,17717,1299.0,2.0
1155570,29.12.2013,11,27,9238,349.0,1.0
60536,06.01.2013,0,31,4370,599.0,1.0
2193714,03.12.2014,23,42,16206,699.0,1.0
1143193,30.12.2013,11,29,8686,199.0,2.0
525903,18.05.2013,4,6,18206,299.0,1.0
2024182,15.09.2014,20,57,989,58.0,1.0
2907250,27.10.2015,33,50,15413,599.0,1.0
393924,19.04.2013,3,47,15024,199.0,1.0
1268973,27.01.2014,12,54,5241,999.5,1.0
2097683,06.10.2014,21,42,8541,299.0,1.0
1401893,15.02.2014,13,2,2445,299.5,2.0
2206864,27.12.2014,23,42,2293,999.0,3.0
1555267,05.04.2014,15,54,6542,999.0,1.0
958264,19.10.2013,9,54,21603,83.0,1.0
2086399,19.10.2014,21,35,14931,699.0,1.0
667639,10.07.2013,6,14,1923,249.0,1.0
1884269,09.08.2014,19,40,19370,399.0,1.0
2113515,11.11.2014,22,35,4717,299.0,1.0
203150,05.02.2013,1,38,1835,1999.0,1.0
2515149,22.03.2015,26,54,11184,199.0,1.0
1376412,25.02.2014,13,25,6108,314.3,1.0
755745,21.08.2013,7,54,1905,249.0,1.0
2914629,14.10.2015,33,5,10202,1159.0,3.0
1608184,25.04.2014,15,47,4249,839.0,1.0
1768215,01.06.2014,17,38,6111,74.0,1.0
976471,24.10.2013,9,54,6389,749.0,1.0
1033088,30.11.2013,10,30,3629,599.0,1.0
2059543,29.10.2014,21,21,15045,699.0,1.0
491580,15.05.2013,4,51,2931,63.0,2.0
2907116,18.10.2015,33,52,13159,299.0,1.0
962529,06.10.2013,9,54,15992,499.0,1.0
2137517,16.11.2014,22,54,21670,399.0,1.0
1572141,20.04.2014,15,27,15521,599.0,1.0
2456847,05.02.2015,25,5,20949,5.0,1.0
1228990,08.12.2013,11,57,10661,1199.0,1.0
2807403,04.08.2015,31,19,4248,1999.0,1.0
1512807,23.03.2014,14,28,5323,299.0,1.0
1836767,25.07.2014,18,15,17814,399.0,1.0
640151,27.07.2013,6,25,13735,599.0,1.0
450757,31.05.2013,4,28,16022,1599.0,1.0
2355718,31.01.2015,24,41,11208,699.0,1.0
2286958,26.12.2014,23,3,20949,5.0,5.0
797237,29.08.2013,7,18,4810,599.5,1.0
343510,08.03.2013,2,59,4910,419.0,1.0
2055751,04.10.2014,21,6,2574,399.0,1.0
898794,27.09.2013,8,37,2808,999.0,2.0
114023,27.01.2013,0,46,3432,599.0,1.0
1719330,27.06.2014,17,31,5682,299.0,1.0
1734920,03.06.2014,17,6,7808,2599.0,1.0
2110615,27.11.2014,22,58,20091,149.0,1.0
2438177,24.02.2015,25,58,3028,2599.0,1.0
1339726,23.01.2014,12,6,1475,698.0,1.0
907186,08.09.2013,8,27,2432,449.0,1.0
1131337,09.12.2013,11,26,5655,899.0,2.0
2926800,10.10.2015,33,31,10472,299.0,1.0
1444579,14.02.2014,13,38,1415,1999.0,1.0
2908965,23.10.2015,33,16,3351,3999.0,1.0
479288,30.05.2013,4,31,2921,599.0,1.0
1631610,02.05.2014,16,27,4244,698.7,1.0
358874,16.04.2013,3,28,16484,149.0,1.0
2324614,05.01.2015,24,27,15832,199.0,1.0
975633,17.10.2013,9,53,3734,2599.0,3.0
2105512,31.10.2014,21,46,1856,1499.0,1.0
607694,28.06.2013,5,54,16480,349.0,1.0
