Area,Years,Subscribers,Revenue
United States and Canada,Q1 - 2018,60909000,1976157000
"Europe,  Middle East and Africa",Q1 - 2018,29339000,886649000
Latin America,Q1 - 2018,21260000,540182000
Asia-Pacific,Q1 - 2018,7394000,199117000
United States and Canada,Q2 - 2018,61870000,2049546000
"Europe,  Middle East and Africa",Q2 - 2018,31317000,975497000
Latin America,Q2 - 2018,22795000,568071000
Asia-Pacific,Q2 - 2018,8372000,221252000
United States and Canada,Q3 - 2018,63010000,2094850000
"Europe,  Middle East and Africa",Q3 - 2018,33836000,1004749000
Latin America,Q3 - 2018,24115000,562307000
Asia-Pacific,Q3 - 2018,9461000,248691000
United States and Canada,Q4 - 2018,64757000,2160979000
"Europe,  Middle East and Africa",Q4 - 2018,37818000,1096812000
Latin America,Q4 - 2018,26077000,567137000
Asia-Pacific,Q4 - 2018,10607000,276756000
United States and Canada,Q1 - 2019,66633000,2256851000
"Europe,  Middle East and Africa",Q1 - 2019,42542000,1233379000
Latin America,Q1 - 2019,27547000,630472000
Asia-Pacific,Q1 - 2019,12141000,319602000
United States and Canada,Q2 - 2019,66501000,2501199000
"Europe,  Middle East and Africa",Q2 - 2019,44229000,1319087000
Latin America,Q2 - 2019,27890000,677136000
Asia-Pacific,Q2 - 2019,12942000,349494000
United States and Canada,Q3 - 2019,67114000,2621250000
"Europe,  Middle East and Africa",Q3 - 2019,47355000,1428040000
Latin America,Q3 - 2019,29380000,741434000
Asia-Pacific,Q3 - 2019,14485000,382304000
United States and Canada,Q4 - 2019,67662000,2671908000
"Europe,  Middle East and Africa",Q4 - 2019,51778000,1562561000
Latin America,Q4 - 2019,31417000,746392000
Asia-Pacific,Q4 - 2019,16233000,418121000
United States and Canada,Q1 - 2020,69969000,2702776000
"Europe,  Middle East and Africa",Q1 - 2020,58734000,1723474000
Latin America,Q1 - 2020,34318000,793453000
Asia-Pacific,Q1 - 2020,19835000,483660000
United States and Canada,Q2 - 2020,72904000,2839670000
"Europe,  Middle East and Africa",Q2 - 2020,61483000,1892537000
Latin America,Q2 - 2020,36068000,785368000
Asia-Pacific,Q2 - 2020,22492000,569140000
