Year,Land use,SITE,Latitude,Longitude,Address,Suburb,Local Government Area,Variable Units,Variable Value,Start Date,End Date,Average Weekday Volume,Average Weekend Volume,Weekday Peak Hour Start,Weekday Peak Hour End,Weekday Peak Volume,Weekend Peak Hour Start,Weekend Peak Hour End,Weekend Peak Volume
2006,Child Care,2006CC1,,,,ROBERTSON,Brisbane City,Childcare Spaces,75,9/05/2006,23/05/2006,,,8:00:00,9:00:00,50,,,
2006,Child Care,2006CC2,,,,ROTHWELL,Moreton Bay Regional,Childcare Spaces,74,9/05/2006,23/05/2006,,,8:15:00,9:15:00,56,,,
2006,Child Care,2006CC3,,,,OXLEY,Brisbane City,Childcare Spaces,75,9/05/2006,23/05/2006,,,8:00:00,9:00:00,49,,,
2006,Child Care,2006CC4,,,,NORTH LAKES,Moreton Bay Regional,Childcare Spaces,75,9/05/2006,23/05/2006,,,7:00:00,8:00:00,48,,,
2006,Fast Food Drive Through,2006FF1,,,,ALEXANDRA HILLS,Redland City,GLFA,419,25/05/2006,8/06/2006,,,18:15:00,19:15:00,161,,,
2006,Fast Food Drive Through,2006FF2,,,,EVERTON PARK,Brisbane City,GLFA,263,25/05/2006,8/06/2006,,,18:15:00,19:15:00,146,,,
2006,Fast Food Drive Through,2006FF3,,,,OXLEY,Brisbane City,GLFA,364,4/05/2006,18/05/2006,,,18:00:00,19:00:00,164,,,
2006,Fast Food Drive Through,2006FF4,,,,LOGAN CENTRAL,Logan City,GLFA,412,25/05/2006,8/06/2006,,,17:45:00,18:45:00,190,,,
2006,Fast Food Drive Through,2006FF5,,,,INDOOROOPILLY,Brisbane City,GLFA,542,18/05/2006,15/06/2006,,,17:30:00,18:30:00,148,,,
2006,Fast Food Drive Through,2006FF6,,,,ROCKLEA,Brisbane City,GLFA,307,18/05/2006,15/06/2006,,,16:15:00,17:15:00,105,,,
2006,Fast Food Drive Through,2006FF7,,,,TARINGA,Brisbane City,GLFA,312,18/05/2006,15/06/2006,,,18:00:00,19:00:00,122,,,
2006,Fast Food Drive Through,2006FF8,,,,KEPERRA,Moreton Bay Regional,GLFA,333,18/05/2006,15/06/2006,,,17:45:00,18:45:00,127,,,
2006,Fast Food Drive Through,2006FF9,,,,KEPERRA,Moreton Bay Regional,GLFA,316,18/05/2006,15/06/2006,,,18:00:00,19:00:00,178,,,
2006,Medical Centre,2006MD1,,,,TARINGA,Brisbane City,GLFA,2188,19/05/2006,16/06/2006,,,15:00:00,16:00:00,63,,,
2006,Medical Centre,2006MD2,,,,INDOOROOPILLY,Brisbane City,GLFA,1695,19/05/2006,16/06/2006,,,15:30:00,16:30:00,86,,,
2006,Medical Centre,2006MD3,,,,CAMP HILL,Brisbane City,GLFA,469,19/05/2006,16/06/2006,,,15:00:00,16:00:00,21,,,
2006,Medical Centre,2006MD4,,,,NEWMARKET,Brisbane City,GLFA,1147,19/05/2006,16/06/2006,,,16:15:00,17:15:00,52,,,
2006,Medical Centre,2006MD5,,,,ASPLEY,Brisbane City,GLFA,910,19/05/2006,16/06/2006,,,17:30:00,18:30:00,57,,,
2006,Medical Centre,2006MD6,,,,KEDRON,Brisbane City,GLFA,936,19/05/2006,16/06/2006,,,16:00:00,17:00:00,50,,,
2006,Retail Bulk Warehouse,2006RBW01,,,,BROWNS PLAINS,Logan City,GLFA,10280,4/05/2006,18/05/2006,,,15:30:00,16:30:00,281,,,
2006,Retail Bulk Warehouse,2006RBW02,,,,OXLEY,Brisbane City,GLFA,8506,4/05/2006,18/05/2006,,,15:15:00,16:15:00,282,,,
2006,Retail Bulk Warehouse,2006RBW03,,,,STAFFORD,Brisbane City,GLFA,10920,4/05/2006,18/05/2006,,,15:00:00,16:00:00,352,,,
2006,Retail Bulk Warehouse,2006RBW04,,,,OXLEY,Brisbane City,GLFA,5425,4/05/2006,18/05/2006,,,18:00:00,19:00:00,150,,,
2006,Retail Bulk Warehouse,2006RBW05,,,,MORAYFIELD,Moreton Bay Regional,GLFA,981,18/05/2006,15/06/2006,,,15:15:00,16:15:00,328,,,
2006,Retail Bulk Warehouse,2006RBW06,,,,ROCKLEA,Brisbane City,GLFA,10140,18/05/2006,15/06/2006,,,15:00:00,16:00:00,239,,,
2006,Retail Bulk Warehouse,2006RBW07,,,,ROCHEDALE SOUTH,Logan City,GLFA,7833,18/05/2006,15/06/2006,,,15:15:00,16:15:00,275,,,
2006,Retail Bulk Warehouse,2006RBW08,,,,CAPALABA,Redland City,GLFA,4266,18/05/2006,22/06/2006,,,17:15:00,18:15:00,67,,,
2006,Retail Bulk Warehouse,2006RBW09,,,,OXLEY,Brisbane City,GLFA,10632,18/05/2006,22/06/2006,,,16:45:00,17:45:00,94,,,
2006,Retail Bulk Warehouse,2006RBW10,,,,WINDSOR,Brisbane City,GLFA,4623,18/05/2006,15/06/2006,,,15:45:00,16:45:00,138,,,
2006,Retail Bulk Warehouse,2006RBW12,,,,KEDRON,Brisbane City,GLFA,1458,18/05/2006,15/06/2006,,,18:00:00,19:00:00,107,,,
2006,Retail Bulk Warehouse,2006RBW13,,,,SLACKS CREEK,Logan City,GLFA,1282,18/05/2006,15/06/2006,,,15:30:00,16:30:00,54,,,
2006,Retail Bulk Warehouse,2006RBW14,,,,CAPALABA,Redland City,GLFA,981,18/05/2006,15/06/2006,,,17:30:00,18:30:00,45,,,
2006,Retail Bulk Warehouse,2006RBW15,,,,LAWNTON,Moreton Bay Regional,GLFA,6566,18/05/2006,22/06/2006,,,16:45:00,17:45:00,59,,,
2006,Retirement Village,2006RV1,,,,ORMISTON,Redland City,Bedrooms,380,5/05/2006,19/05/2006,,,15:00:00,16:00:00,41,,,
2006,Retirement Village,2006RV2,,,,ALBANY CREEK,Moreton Bay Regional,Bedrooms,515,5/05/2006,19/05/2006,,,15:00:00,16:00:00,71,,,
2006,Retirement Village,2006RV3,,,,DURACK,Brisbane City,Bedrooms,691,5/05/2006,19/05/2006,,,15:00:00,16:00:00,87,,,
2006,Retirement Village,2006RV4,,,,ASPLEY,Brisbane City,Bedrooms,470,5/05/2006,19/05/2006,,,15:15:00,16:15:00,46,,,
2006,Stand Alone Supermarket,2006SAS1,,,,CHERMSIDE,Brisbane City,GLFA,1584,18/05/2006,15/06/2006,,,17:45:00,18:45:00,232,,,
2006,Stand Alone Supermarket,2006SAS2,,,,SALISBURY,Brisbane City,GLFA,1432,18/05/2006,15/06/2006,,,15:15:00,16:15:00,203,,,
2006,Stand Alone Supermarket,2006SAS3,,,,CORINDA,Brisbane City,GLFA,2932,18/05/2006,15/06/2006,,,16:45:00,17:45:00,342,,,
