fuelType,rating,renterTripsTaken,reviewCount,location.city,rate.daily,vehicle.make,vehicle.model,vehicle.type
ELECTRIC,5,3,3,Agnes Water,134.3,Tesla,Model 3,car
ELECTRIC,5,36,33,Agnes Water,163.2,Tesla,Model 3,car
ELECTRIC,5,89,83,Agnes Water,185.3,Tesla,Model 3,car
ELECTRIC,4.97,70,64,Agnes Water,185.3,Tesla,Model 3,car
ELECTRIC,4.73,41,33,Agnes Water,185.3,Tesla,Model 3,car
ELECTRIC,4.95,113,80,Agnes Water,202.3,Tesla,Model X,suv
ELECTRIC,4.85,50,40,Agnes Water,202.3,Tesla,Model X,suv
ELECTRIC,5,3,2,Agnes Water,249.9,Tesla,Model X,suv
ELECTRIC,5,28,25,Agnes Water,253.3,Tesla,Model X,suv
ELECTRIC,4.96,54,49,Agnes Water,270.3,Tesla,Model X,suv
ELECTRIC,5,43,35,Agnes Water,270.3,Tesla,Model X,suv
PETROL,4.87,25,23,Agnes Water,102,BMW,3 Series,car
PETROL,5,20,18,Agnes Water,144.5,Mercedes-Benz,C-Class,car
PETROL,4.95,26,22,Agnes Water ,103.7,BMW,5 Series,car
PETROL,4.91,79,69,Agnes Water ,117.3,Mercedes-Benz,GLA-Class,suv
ELECTRIC,4,5,4,Brisbane,151.3,Tesla,Model 3,car
ELECTRIC,4.74,36,34,Brisbane,153,Tesla,Model 3,car
ELECTRIC,4.99,113,107,Brisbane,168.3,Tesla,Model 3,car
ELECTRIC,5,22,19,Brisbane,168.3,Tesla,Model 3,car
ELECTRIC,4.83,35,29,Brisbane,202.3,Tesla,Model 3,car
ELECTRIC,4.98,112,101,Brisbane,204,Tesla,Model 3,car
ELECTRIC,4.99,84,76,Brisbane,209.1,Tesla,Model 3,car
ELECTRIC,5,8,7,Brisbane,215.9,Tesla,Model 3,car
ELECTRIC,4.81,18,16,Brisbane,226.1,Tesla,Model 3,car
ELECTRIC,5,6,5,Brisbane,227.8,Tesla,Model 3,car
ELECTRIC,4.95,76,66,Brisbane,229.5,Tesla,Model 3,car
ELECTRIC,4.98,61,53,Brisbane,234.6,Tesla,Model 3,car
ELECTRIC,5,33,29,Brisbane,283.9,Tesla,Model 3,car
ELECTRIC,4.89,12,9,Brisbane,306,Tesla,Model 3,car
ELECTRIC,4.92,66,61,Brisbane,144.5,Tesla,Model S,car
ELECTRIC,4.9,126,103,Brisbane,161.5,Tesla,Model S,car
ELECTRIC,4.94,59,53,Brisbane,170,Tesla,Model S,car
ELECTRIC,4.94,23,16,Brisbane,170,Tesla,Model S,car
ELECTRIC,5,19,14,Brisbane,176.8,Tesla,Model S,car
ELECTRIC,5,83,74,Brisbane,321.3,Tesla,Model S,car
ELECTRIC,4.97,123,116,Brisbane,168.3,Tesla,Model X,suv
ELECTRIC,5,1,1,Brisbane,234.6,Tesla,Model X,suv
ELECTRIC,4.86,44,36,Brisbane,238,Tesla,Model X,suv
ELECTRIC,4.91,15,11,Brisbane,272,Tesla,Model X,suv
ELECTRIC,4.98,148,127,Brisbane,282.2,Tesla,Model X,suv
ELECTRIC,5,25,25,Brisbane,295.8,Tesla,Model X,suv
ELECTRIC,5,17,14,Brisbane,317.9,Tesla,Model X,suv
ELECTRIC,5,56,48,Brisbane,397.8,Tesla,Model X,suv
ELECTRIC,5,8,6,Brisbane,452.2,Tesla,Model X,suv
ELECTRIC,5,2,2,Brisbane,508.3,Tesla,Model X,suv
ELECTRIC,5,6,6,Brisbane,261.8,Tesla,Model Y,suv
ELECTRIC,5,3,2,Brisbane,261.8,Tesla,Model Y,suv
HYBRID,5,55,47,Brisbane,499.8,BMW,i8,car
HYBRID,5,51,44,Brisbane,93.5,Lexus,CT 200h,car
PETROL,5,40,34,Brisbane,137.7,BMW,2 Series,car
PETROL,5,47,41,Brisbane,142.8,BMW,2 Series,car
PETROL,5,31,24,Brisbane,142.8,BMW,2 Series,car
PETROL,4.91,191,160,Brisbane,149.6,BMW,2 Series,car
PETROL,4.93,110,89,Brisbane,149.6,BMW,3 Series,car
PETROL,4.96,86,77,Brisbane,98.6,BMW,4 Series,car
PETROL,4.94,37,34,Brisbane,136,BMW,4 Series,car
PETROL,4.98,60,54,Brisbane,176.8,BMW,4 Series,car
PETROL,4.57,8,7,Brisbane,183.6,BMW,7 Series,car
PETROL,4,1,1,Brisbane,193.8,BMW,7 Series,car
PETROL,5,12,12,Brisbane,229.5,BMW,M3,car
PETROL,5,54,49,Brisbane,255,BMW,M3,car
PETROL,5,22,20,Brisbane,185.3,BMW,M4,car
PETROL,4.92,234,195,Brisbane,202.3,BMW,M4,car
PETROL,5,98,94,Brisbane,217.6,BMW,M4,car
PETROL,4.95,144,124,Brisbane,219.3,BMW,M4,car
PETROL,4.82,37,33,Brisbane,232.9,BMW,M4,car
PETROL,4.87,108,85,Brisbane,270.3,BMW,M4,car
PETROL,5,40,34,Brisbane,112.2,BMW,X1,suv
PETROL,4.92,168,146,Brisbane,173.4,BMW,X5,suv
PETROL,5,3,3,Brisbane,168.3,Land Rover,LR4,suv
PETROL,5,63,57,Brisbane,151.3,Land Rover,Range Rover Sport,suv
PETROL,5,6,5,Brisbane,188.7,Land Rover,Range Rover Sport,suv
PETROL,5,92,79,Brisbane,251.6,Land Rover,Range Rover Sport,suv
PETROL,4.81,28,27,Brisbane,508.3,Land Rover,Range Rover Sport,suv
