Date,Zone,Area,Range,Product,Qty,Price
1-Jan,Gold Coast,Burleigh Heads,Cafe,2kg Cafe Blend,33,17.7
2-Jan,Gold Coast,Burleigh Heads,Barista,2kg Smooth Blend,32,21.8
4-Jan,Gold Coast,Southport,Premium,2kg Single Origin Select,87,34.9
5-Jan,Gold Coast,Burleigh Heads,Cafe,2kg Cafe Blend,63,17.7
7-Jan,Brisbane,Southbank,Barista,2kg Light Roast,58,18.7
8-Jan,Gold Coast,Burleigh Heads,Standard,4kg Everyday Blend,29,31.5
10-Jan,Brisbane,CBD,Barista,2kg Light Roast,82,18.7
11-Jan,Brisbane,Southbank,Cafe,2kg Cafe Single Origin,77,18.7
13-Jan,Gold Coast,Burleigh Heads,Barista,2kg Smooth Blend,38,21.8
14-Jan,Brisbane,Southbank,Barista,2kg Dark Blend,80,28.4
16-Jan,Gold Coast,Burleigh Heads,Cafe,2kg Cafe Blend,54,17.7
17-Jan,Brisbane,CBD,Cafe,2kg Cafe Blend,102,17.7
19-Jan,Gold Coast,Southport,Premium,2kg Single Origin Select,149,34.9
20-Jan,Brisbane,CBD,Premium,2kg Single Origin Select,31,34.9
22-Jan,Brisbane,Southbank,Cafe,2kg Cafe Blend,51,17.7
23-Jan,Sunshine Coast,Maroochydore,Cafe,2kg Cafe Blend,56,17.7
25-Jan,Brisbane,CBD,Cafe,2kg Cafe Blend,100,17.7
26-Jan,Gold Coast,Burleigh Heads,Barista,2kg Smooth Blend,52,21.8
28-Jan,Brisbane,CBD,Standard,2kg Everyday Blend,28,13.5
29-Jan,Gold Coast,Burleigh Heads,Cafe,2kg Cafe Blend,51,17.7
31-Jan,Gold Coast,Burleigh Heads,Barista,2kg Smooth Blend,36,21.8
1-Feb,Gold Coast,Burleigh Heads,Standard,2kg Everyday Blend,24,16.8
3-Feb,Gold Coast,Southport,Barista,2kg Light Roast,31,18.7
4-Feb,Brisbane,Southbank,Barista,2kg Smooth Blend,58,21.8
6-Feb,Gold Coast,Southport,Premium,2kg Single Origin Select,28,34.9
7-Feb,Brisbane,Southbank,Barista,2kg Light Roast,34,18.7
9-Feb,Brisbane,Southbank,Cafe,2kg Cafe Blend,44,17.7
10-Feb,Brisbane,CBD,Cafe,2kg Cafe Blend,34,17.7
12-Feb,Brisbane,CBD,Cafe,2kg Cafe Blend,23,17.7
13-Feb,Brisbane,CBD,Standard,2kg Everyday Blend,21,16.8
15-Feb,Brisbane,CBD,Standard,2kg Everyday Blend,27,13.5
16-Feb,Sunshine Coast,Maroochydore,Barista,2kg Dark Blend,29,28.4
18-Feb,Gold Coast,Southport,Barista,2kg Smooth Blend,43,21.8
