stud_num,course,mode,tute,studio
1,IN01,FT,TUT 1,STU 2
2,IX87,FT,TUT 5,STU 2
3,IN01,FT,TUT 5,STU 2
4,IN01,FT,TUT 1,
5,IN01,FT,TUT 1,STU 1
6,IN01,FT,TUT 1,STU 2
7,IN01,FT,TUT 5,STU 2
8,ID03,FT,TUT 1,STU 1
9,IN01,FT,TUT 1,STU 2
10,IN01,FT,TUT 5,STU 2
11,IN01,FT,TUT 1,STU 1
12,IN01,FT,TUT 1,STU 1
13,IN01,PT,TUT 5,STU 1
14,IN01,FT,TUT 1,STU 2
15,IN01,FT,TUT 5,STU 2
16,IN01,FT,TUT 5,STU 2
17,IX22,FT,TUT 1,STU 1
18,IN01,FT,TUT 1,STU 1
19,IN01,FT,TUT 5,STU 2
20,IN01,FT,TUT 5,STU 2
21,IN01,FT,STU 1,
22,IX22,FT,TUT 5,STU 2
23,IN01,FT,TUT 1,STU 1
24,IN01,FT,TUT 1,STU 2
25,IN01,FT,TUT 5,STU 2
26,IN01,FT,TUT 5,STU 1
27,IX22,FT,TUT 5,STU 1
28,IN01,PT,TUT 1,STU 2
29,IN01,FT,TUT 1,STU 1
30,IN01,FT,TUT 5,STU 2
31,IN01,FT,TUT 5,STU 1
32,IT23,PT,TUT 1,STU 1
33,IN01,FT,TUT 5,STU 2
34,IN01,FT,TUT 1,STU 1
35,IN01,FT,TUT 1,STU 2
36,IX22,FT,TUT 1,STU 2
37,IN01,FT,TUT 5,STU 2
38,IN01,FT,TUT 5,STU 2
39,IN01,FT,TUT 5,STU 2
40,IN01,FT,TUT 1,STU 1
41,BS05,FT,TUT 5,STU 2
42,IN01,FT,TUT 5,STU 2
43,IN01,FT,STU 2,
44,IX22,FT,TUT 1,STU 2
45,IN01,FT,TUT 5,STU 2
46,IN01,FT,TUT 5,STU 2
47,IN01,FT,TUT 5,STU 2
48,IN01,FT,TUT 5,STU 2
49,IN01,FT,TUT 1,STU 1
50,BS05,PT,TUT 5,STU 2
51,IN01,FT,TUT 5,STU 1
52,IX22,PT,TUT 5,STU 2
53,IN01,FT,TUT 5,STU 2
54,IN01,PT,TUT 5,STU 2
55,SE60,FT,TUT 1,STU 2
56,IN01,FT,TUT 1,STU 1
57,IN01,FT,TUT 5,STU 2
58,IX22,FT,TUT 5,STU 2
59,IN01,FT,TUT 1,STU 1
60,IN01,FT,TUT 5,STU 2
61,IN01,FT,TUT 1,STU 1
62,IX22,FT,TUT 5,STU 2
63,IN01,FT,TUT 1,STU 1
64,IN01,PT,TUT 5,
65,IN01,PT,TUT 5,STU 2
66,IN01,FT,TUT 5,STU 2
67,SE30,FT,TUT 5,STU 2
68,IN01,FT,TUT 1,STU 1
69,IN01,FT,TUT 1,STU 2
70,BS05,PT,TUT 5,STU 2
71,IX22,PT,TUT 1,STU 2
72,KK43,FT,TUT 1,STU 2
73,BS05,FT,TUT 5,
74,IN01,FT,TUT 1,STU 2
75,IN01,FT,TUT 1,STU 2
